epoch,accuracy,auc,false_negatives,false_positives,loss,mean_absolute_error,mean_squared_error,precision,recall,root_mean_squared_error,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_mean_absolute_error,val_mean_squared_error,val_precision,val_recall,val_root_mean_squared_error,val_true_negatives,val_true_positives
43,0.9133197069168091,0.9038394093513489,439490.0,2691386.0,0.23611348867416382,0.11544211208820343,0.10006678104400635,0.20425836741924286,0.611187756061554,0.3163333237171173,25735072.0,690850.0,0.9194586873054504,0.9018968939781189,19683.0,132428.0,0.22162176668643951,0.11490263044834137,0.10140062868595123,0.20090754330158234,0.62846839427948,0.3184346556663513,1248194.0,33295.0
44,0.9136577844619751,0.9037575125694275,438805.0,2691113.0,0.23552389442920685,0.1154109388589859,0.10010206699371338,0.20443598926067352,0.6117938160896301,0.3163890838623047,25735350.0,691535.0,0.9191908240318298,0.9025863409042358,19598.0,132600.0,0.22325904667377472,0.11460523307323456,0.10145893692970276,0.20110855996608734,0.630072832107544,0.3185262680053711,1248022.0,33380.0
45,0.9138559103012085,0.9039977192878723,436515.0,2692004.0,0.23470255732536316,0.11529254168272018,0.10004901885986328,0.20492027699947357,0.6138197183609009,0.3163052499294281,25734452.0,693825.0,0.9197098016738892,0.9026315808296204,19613.0,132550.0,0.22209645807743073,0.11463223397731781,0.10140882432460785,0.20109695196151733,0.6297897100448608,0.31844744086265564,1248072.0,33365.0
46,0.9139084219932556,0.904063880443573,435919.0,2691730.0,0.23442423343658447,0.11525066941976547,0.10000801086425781,0.20507679879665375,0.614346981048584,0.31624042987823486,25734732.0,694421.0,0.9195312261581421,0.9025397896766663,19479.0,132561.0,0.2214559018611908,0.11458320915699005,0.10138848423957825,0.20172828435897827,0.6323190927505493,0.3184155821800232,1248061.0,33499.0
47,0.914027750492096,0.904109001159668,435547.0,2691592.0,0.23395517468452454,0.11523760855197906,0.10002457350492477,0.20517247915267944,0.6146761178970337,0.31626662611961365,25734868.0,694793.0,0.919933021068573,0.9021753072738647,19729.0,132292.0,0.22062720358371735,0.11485227197408676,0.10133440047502518,0.20085054636001587,0.6276001334190369,0.3183305561542511,1248330.0,33249.0
48,0.9141847491264343,0.9044336676597595,434044.0,2691152.0,0.233240008354187,0.11515969038009644,0.0998666062951088,0.20555178821086884,0.6160057783126831,0.3160167932510376,25735312.0,696296.0,0.9200000166893005,0.902474045753479,19603.0,132464.0,0.22082993388175964,0.11469602584838867,0.10133561491966248,0.2012494057416916,0.6299784779548645,0.3183325529098511,1248158.0,33375.0
49,0.9143425822257996,0.9043652415275574,433886.0,2691513.0,0.23282001912593842,0.11511381715536118,0.09994322061538696,0.20556694269180298,0.6161456108093262,0.31613796949386597,25734944.0,696454.0,0.9200446605682373,0.9028466939926147,19512.0,132582.0,0.2211376279592514,0.11447414010763168,0.1013471856713295,0.2015441358089447,0.6316961646080017,0.31835082173347473,1248040.0,33466.0
50,0.914608359336853,0.9043535590171814,432582.0,2692363.0,0.23246289789676666,0.11507582664489746,0.09999678283929825,0.2058209776878357,0.6172991991043091,0.3162226676940918,25734100.0,697758.0,0.919944167137146,0.9022481441497803,19667.0,132401.0,0.22072145342826843,0.11479994654655457,0.10135487467050552,0.20101742446422577,0.6287704110145569,0.31836289167404175,1248221.0,33311.0
51,0.9149196147918701,0.9045147895812988,430578.0,2691965.0,0.2316184788942337,0.11499855667352676,0.09990845620632172,0.20631437003612518,0.6190721392631531,0.31608298420906067,25734496.0,699762.0,0.9200334548950195,0.9031447172164917,19508.0,132522.0,0.2207600623369217,0.11447039246559143,0.10134056955575943,0.20163622498512268,0.6317716836929321,0.31834036111831665,1248100.0,33470.0
52,0.9150776863098145,0.9047695994377136,429718.0,2692620.0,0.23112396895885468,0.11491154879331589,0.09992221742868423,0.20647569000720978,0.6198329925537109,0.3161047399044037,25733840.0,700622.0,0.9204073548316956,0.9024403095245361,19559.0,132413.0,0.219919815659523,0.11475902795791626,0.10131711512804031,0.20152322947978973,0.6308090090751648,0.31830349564552307,1248209.0,33419.0
